572,572,1,3,3,64,0,1,0
570,570,64,3,3,64,0,1,0
568,568,64,3,3,64,1,1,0
284,284,64,3,3,128,0,1,0
282,282,128,3,3,128,0,1,0
280,280,128,3,3,128,1,1,0
140,140,128,3,3,256,0,1,0
138,138,256,3,3,256,0,1,0
136,136,256,3,3,256,1,1,0
68,68,256,3,3,512,0,1,0
66,66,512,3,3,512,0,1,0
64,64,512,3,3,512,1,1,0
32,32,512,3,3,1024,0,1,0
30,30,1024,3,3,1024,0,1,0
56,56,1024,2,2,512,0,1,1
56,56,1024,3,3,512,0,1,0
54,54,512,3,3,512,0,1,0
52,52,512,3,3,512,0,1,0
104,104,512,2,2,256,0,1,1
104,104,512,3,3,256,0,1,0
102,102,256,3,3,256,0,1,0
100,100,256,3,3,256,0,1,0
200,200,256,2,2,128,0,1,1
200,200,256,3,3,128,0,1,0
198,198,128,3,3,128,0,1,0
196,196,128,3,3,128,0,1,0
392,392,128,2,2,64,0,1,1
392,392,128,3,3,64,0,1,0
390,390,64,3,3,64,0,1,0
388,388,64,1,1,2,0,1,0

