layer,speedup row,speedup col,read latency(ns),write latency(ns),ADC(ns),Accumulation(ns),Synaptic Array(ns),Buffer(ns),Interconnect(ns),DRAM(ns),ADC write(ns),Accumulation write(ns),Synaptic Array write(ns),Buffer write(ns),Interconnect write(ns),DRAM write(ns)
1,12,12,9.43287e+06,1.67729e+07,613312,7141.15,83024.7,6.16148e+06,2.56789e+06,26.4084,0,0,1.32057e+07,168078,3.39911e+06,0.909474
2,1,12,4.73762e+07,3.00878e+06,7.35974e+06,2.09735e+06,634895,2.05801e+07,1.6704e+07,26.4084,0,0,1.95288e+06,178504,877380,19.4021
3,1,6,1.60382e+07,4.40109e+06,3.61387e+06,601639,311746,6.63102e+06,4.87987e+06,26.4084,0,0,3.90696e+06,57671.9,436423,38.8042
4,1,6,2.33017e+07,8.61404e+06,3.61387e+06,1.05267e+06,311750,1.01207e+07,8.20268e+06,26.4084,0,0,7.81431e+06,109654,689998,77.6084
5,1,3,7.75079e+06,1.61469e+07,1.74182e+06,295477,150256,3.21073e+06,2.35248e+06,26.4084,0,0,1.56319e+07,63248.7,451538,155.217
6,1,3,7.3624e+06,3.20319e+07,1.74182e+06,333698,150258,3.13401e+06,2.00258e+06,26.4084,0,0,3.12648e+07,123755,643014,310.434
7,1,1,3.02069e+06,1.05143e+08,1.21139e+06,126049,102697,1.02689e+06,553645,26.4084,0,0,1.04215e+08,187763,740280,620.867
8,1,1,3.14914e+06,1.8898e+08,1.21139e+06,145751,102699,1.07137e+06,617901,26.4084,0,0,1.87558e+08,364293,1.05591e+06,1241.73
9,1,1,688488,1.88457e+08,258048,30546.4,21876.2,235735,142257,26.4084,0,0,1.87551e+08,311747,593077,1241.73
10,1,1,670344,1.88471e+08,258048,30546.4,21877.9,228222,131623,26.4084,0,0,1.87565e+08,311747,593077,1241.73
11,1,1,688488,1.88495e+08,258048,30546.4,21876.2,235735,142257,26.4084,0,0,1.87589e+08,311747,593077,1241.73
12,1,1,688488,1.88466e+08,258048,30546.4,21876.2,235735,142257,26.4084,0,0,1.8756e+08,311747,593077,1241.73
13,1,1,670344,1.88469e+08,258048,30546.4,21877.9,228222,131623,26.4084,0,0,1.87563e+08,311747,593077,1241.73
14,1,1,333480,6.39094e+09,1792,329872,189.585,1427.6,171.928,26.4084,0,0,6.37729e+09,1.29622e+07,632337,54084.4
15,1,1,127101,1.12806e+09,1792,123357,189.585,1468.52,268.082,26.4084,0,0,1.12537e+09,2.11632e+06,562584,8830.11
16,1,1,14281.4,3.75832e+08,1792,10184.5,157.085,1625.08,496.26,26.4084,0,0,3.74904e+08,516730,409353,2155.79
total,12,46656,4.73762e+07,9.21229e+09,7.35974e+06,2.09735e+06,634895,2.05801e+07,1.6704e+07,422.535,0,0,9.18094e+09,1.84069e+07,1.28633e+07,73744
